,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.307998275756836,0.21985434683261298,0.02403736114501953,0.0018925011972625782,0,0.1,5,100,31,20,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",0.14567669172932332,0.2640977443609023,0.549812030075188,0.5206766917293233,0.9887218045112782,0.493796992481203,0.29077835566422094,449
1,3.175305652618408,0.2875309144197993,0.025786495208740233,0.003942886693228099,0,0.1,5,100,31,50,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",0.047932330827067667,0.24060150375939848,0.5460526315789473,0.5206766917293233,0.9887218045112782,0.46879699248120305,0.3188046397508099,1194
2,2.761133003234863,0.24657216989188405,0.023937416076660157,0.0018679016894002224,0,0.1,5,100,31,100,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 100}",0.044172932330827065,0.26033834586466165,0.5488721804511278,0.5206766917293233,0.9887218045112782,0.4725563909774436,0.3172113754295472,1087
3,3.3036683082580565,0.2717423767511801,0.024965238571166993,0.001536943569877899,0,0.1,5,100,63,20,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",0.14567669172932332,0.2640977443609023,0.549812030075188,0.5206766917293233,0.9887218045112782,0.493796992481203,0.29077835566422094,449
4,3.014682960510254,0.23621331709356494,0.02709794044494629,0.00785611764905554,0,0.1,5,100,63,50,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",0.047932330827067667,0.24060150375939848,0.5460526315789473,0.5206766917293233,0.9887218045112782,0.46879699248120305,0.3188046397508099,1194
5,2.8552714824676513,0.25427444589192016,0.023935461044311525,0.0018757350001678324,0,0.1,5,100,63,100,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 63, 'min_samples_leaf': 100}",0.044172932330827065,0.26033834586466165,0.5488721804511278,0.5206766917293233,0.9887218045112782,0.4725563909774436,0.3172113754295472,1087
6,3.5834959030151365,0.34234683996497495,0.033441019058227536,0.008224099498215334,0,0.1,5,100,127,20,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 127, 'min_samples_leaf': 20}",0.14567669172932332,0.2640977443609023,0.549812030075188,0.5206766917293233,0.9887218045112782,0.493796992481203,0.29077835566422094,449
7,3.3172741889953614,0.37043330386643464,0.024352121353149413,0.0020420335895451115,0,0.1,5,100,127,50,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 127, 'min_samples_leaf': 50}",0.047932330827067667,0.24060150375939848,0.5460526315789473,0.5206766917293233,0.9887218045112782,0.46879699248120305,0.3188046397508099,1194
8,2.9512985229492186,0.2225701602428854,0.022532939910888672,0.000830029607154303,0,0.1,5,100,127,100,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': 127, 'min_samples_leaf': 100}",0.044172932330827065,0.26033834586466165,0.5488721804511278,0.5206766917293233,0.9887218045112782,0.4725563909774436,0.3172113754295472,1087
9,3.595154047012329,0.24382289011487904,0.025579500198364257,0.001948356175621006,0,0.1,5,100,,20,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': None, 'min_samples_leaf': 20}",0.14567669172932332,0.2640977443609023,0.549812030075188,0.5206766917293233,0.9887218045112782,0.493796992481203,0.29077835566422094,449
10,3.383474826812744,0.242229028546642,0.0273256778717041,0.005129459345430544,0,0.1,5,100,,50,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': None, 'min_samples_leaf': 50}",0.047932330827067667,0.24060150375939848,0.5460526315789473,0.5206766917293233,0.9887218045112782,0.46879699248120305,0.3188046397508099,1194
11,3.2225914478302,0.6429382727405669,0.028811311721801756,0.009408832305615913,0,0.1,5,100,,100,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 100, 'max_leaf_nodes': None, 'min_samples_leaf': 100}",0.044172932330827065,0.26033834586466165,0.5488721804511278,0.5206766917293233,0.9887218045112782,0.4725563909774436,0.3172113754295472,1087
12,7.052602863311767,0.38830951895809085,0.04628887176513672,0.002859909463209996,0,0.1,5,200,31,20,"{'l2_regularization': 0, 'learning_rate': 0.1, 'max_depth': 5, 'max_iter': 200, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",0.20488721804511278,0.18421052631578946,0.5526315789473685,0.5206766917293233,0.9896616541353384,0.4904135338345864,0.2930260016821438,525
